controller,ann_vol,rolling_vol_14,max_drawdown,rolling_dd_14,worst_day_pct,downside_vol,expected_shortfall_5,time_under_dd_10pct,reserve_depletion,avg_lock,peak_lock,avg_tax,intervention_cost
No intervention,0.8613562259429782,0.7772504564124527,0.8257325581083772,0.14062748104547879,0.19362507984693894,0.6628609528174323,-0.11294978235804434,290.3666666666667,0.0,0.0,0.0,0.0,0.0
Passive threshold,0.8470098364854798,0.7811174036048407,0.7868362605635563,0.13765545733783327,0.18308698994309303,0.6304247993364274,-0.10783968284011801,289.6333333333333,0.09940739679563665,0.0,0.0,0.0,277649.2425338466
P-only,0.84139518819884,0.7825263859013476,0.7697511083718348,0.13477813010213144,0.18085981468684126,0.6194168552351733,-0.10605419586204883,288.3333333333333,0.10001230695439418,0.0,0.0,0.0,621800.5724051575
PD,0.8668597124781946,0.8099807296240389,0.7795369828961048,0.1362896422732976,0.1802576502373792,0.6308483627484676,-0.10888922151142795,278.8,0.9885977783304154,0.0,0.0,0.0,4241385.484059861
Lock-only,0.7645582971626257,0.6970627222395063,0.7710930605847472,0.12604319611575301,0.17983143579595945,0.587002688647702,-0.09892895197957878,276.8666666666667,0.0,0.1161102893388024,0.5497385808129079,0.0,0.0
SRF (no tax),0.7602917850424898,0.7235808435020843,0.6896708777794757,0.11969907304354326,0.16334132302163912,0.5490399103489506,-0.09413913433278896,261.7,0.9296087439732099,0.13414602999415753,0.5500000000000002,0.0,3586117.7562752967
Full SRF,0.7945640280223805,0.7727928131933239,0.6396307244913206,0.11579864205173673,0.15760009057604452,0.5587391327657767,-0.09716852081212513,265.6333333333333,0.16152838708557576,0.15167841792287465,0.5500000000000002,0.016190340483166404,7104976.281066541
