token,group,controller,ann_vol,rolling_vol_14,rolling_dd_14,worst_day_pct,max_drawdown,expected_shortfall_5,drift_preservation,terminal_log_excess,rolling_vol_reduction,rolling_dd_reduction,worst_day_reduction,avg_lock,peak_lock,avg_tax,reserve_depletion
RNDR,BME/DePIN,No intervention,1.5780481777160325,1.4466844109817643,0.23235986713784765,0.2898005618543597,0.8751917362271179,-0.21028851476628377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RNDR,BME/DePIN,Lock-only,1.1905581377741434,1.120303182750443,0.1823373871210119,0.24967466252542678,0.7812996848886491,-0.1511683967499315,0.902535531412737,0.6719538195014326,0.22518980060142663,0.2140442439559866,0.14101866547254954,0.19306386201041012,0.55,0.0,0.0
RNDR,BME/DePIN,PD,1.5915437704394944,1.4675538071747878,0.23014795969964194,0.29456655952575994,0.8695458610598503,-0.2103289251549055,0.07873274884837492,-0.032493414648091155,-0.014502955318627563,0.009414951377023889,-0.019996932572918867,0.0,0.0,0.0,1.0
RNDR,BME/DePIN,SRF (no tax),1.2124188041625172,1.1527347579553884,0.17835539085627267,0.25422682720047185,0.7481113182762639,-0.15306554523480584,0.9278713903220952,0.6716237455455624,0.202576577491129,0.230953107317111,0.12248030850724753,0.19784521116434226,0.55,0.0,0.9998866949652955
RNDR,BME/DePIN,Full SRF,1.2643221556065414,1.2164218202471693,0.1694701969170052,0.2578606639098714,0.6683305733374213,-0.15946908538042448,1.0515956904591957,0.743173568702973,0.15859894644613057,0.2683537439225443,0.11628605039900408,0.20736150218639288,0.55,0.025143579291431413,0.567692732426525
HNT,BME/DePIN,No intervention,1.4541931556622463,1.3354009947523975,0.21796883565893532,0.2678770202154048,0.8599156209501508,-0.19275041965019823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HNT,BME/DePIN,Lock-only,1.1058637809671148,1.04166423339652,0.17194360301205183,0.23086635204558767,0.7655596331201451,-0.13999665021186652,0.809339192253218,0.5964800823847501,0.2195339423886963,0.20985854681660915,0.14066536595184215,0.18782969981896488,0.55,0.0,0.0
HNT,BME/DePIN,PD,1.4696778097259906,1.359747612110386,0.21464038293030846,0.2683565695162603,0.849991790838897,-0.19266068932620067,0.05734300816429463,0.004267874105572164,-0.018381178135163496,0.015236168950022753,-0.0025864458985764218,0.0,0.0,0.0,0.999990953921667
HNT,BME/DePIN,SRF (no tax),1.1269102534992648,1.0728230838333188,0.16773980316087728,0.23433867751069215,0.7273253799159909,-0.14210415398427642,0.82068553865721,0.5937137161095052,0.19600910870381663,0.22915545112128988,0.12481904088439318,0.19327830321963196,0.55,0.0,0.9996735685081015
HNT,BME/DePIN,Full SRF,1.1731135545796714,1.1284541115783218,0.15942292825424847,0.24145555057911353,0.655621767854959,-0.14767807436828792,0.969597920326267,0.7010121151099388,0.1543624996474313,0.26635063763976286,0.10513376067009836,0.20292753298164984,0.55,0.027755555834642388,0.6562611339592375
FIL,BME/DePIN,No intervention,1.1464174428587572,1.0571924541789817,0.177530046443573,0.21231474146048318,0.7914464470887814,-0.14944864648564732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIL,BME/DePIN,Lock-only,0.8935411991687017,0.8438681377439063,0.14264149591864417,0.18224410576636796,0.6960760032364993,-0.1122372379062985,0.5551375241588559,0.37641252201863107,0.20132817152170443,0.19518439479378494,0.14317032231537394,0.17138193514126598,0.55,0.0,0.0
FIL,BME/DePIN,PD,1.1688395164436318,1.0895031373000057,0.17300219094581812,0.21451482132661268,0.763734149452848,-0.15061817176978515,0.06701862508422106,0.02619865875301457,-0.030645302113924182,0.02602308910908619,-0.013180209282300667,0.0,0.0,0.0,0.9975427516954962
FIL,BME/DePIN,SRF (no tax),0.9190957281675365,0.8799012522557783,0.1376410627706179,0.18107979960815773,0.6376689372217826,-0.1150689878650564,0.627802636730575,0.43804704509319425,0.16696408525613668,0.22316741596249287,0.14424136910829954,0.1797823408133155,0.55,0.0,0.9968678988217816
FIL,BME/DePIN,Full SRF,0.9636899611320604,0.93077828819827,0.13178091675890205,0.20189847447170348,0.5674164475664083,-0.11963645621715871,0.7606336317581607,0.5170023980003957,0.11897190199397437,0.2545616104433271,0.05223697134848136,0.18953078989782152,0.55,0.02473776802369066,0.5358676348166138
AKT,BME/DePIN,No intervention,1.702887655451438,1.5579678272111306,0.2471131523001789,0.3118610897946846,0.8914061675480994,-0.22834466746720467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKT,BME/DePIN,Lock-only,1.2753605560739727,1.1985147497225919,0.19308857414096772,0.2688762647364623,0.7996266207702176,-0.16260695580409404,1.00109989352064,0.763376672644829,0.23031359847010155,0.21747695538059797,0.14038796277756133,0.19783397130522623,0.55,0.0,0.0
AKT,BME/DePIN,PD,1.713533559759035,1.5746229871396022,0.24531729002029393,0.3163218433942884,0.8879692702426466,-0.22827179769543487,0.06258274445065619,-0.022109610144563068,-0.010761772901319022,0.007225236874795715,-0.017283833512152926,0.0,0.0,0.0,1.0
AKT,BME/DePIN,SRF (no tax),1.2965934640783845,1.2303057938668382,0.18926313847563753,0.2761724331928556,0.7738088092339224,-0.16368758897206098,1.0477206881138104,0.7651479340773149,0.2097783969786784,0.23281106606377117,0.11411547666394002,0.2015954030017295,0.55,0.0,0.9999543248528122
AKT,BME/DePIN,Full SRF,1.3348032372339158,1.277763732944603,0.18057849689463373,0.27952097667593667,0.7065844103136036,-0.16847170178136608,1.1641163660369949,0.8433033804554046,0.17916763136642574,0.26711681865528103,0.10788471230534569,0.20865100688449467,0.55,0.032646725274141905,0.711774851160157
AR,BME/DePIN,No intervention,1.3310018555347556,1.2241175785230314,0.20337695754578117,0.2459534785764498,0.8433807064768377,-0.17554344736821442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,BME/DePIN,Lock-only,1.0211560304053933,0.9628167960697462,0.1614945437824941,0.21102593823885654,0.7495642586506818,-0.12898048823275826,0.7166796890681539,0.5261586439897559,0.2130197892969714,0.2046325875745027,0.14386806667102037,0.1819197135791811,0.55,0.0,0.0
AR,BME/DePIN,PD,1.3488701513908141,1.2501261074734795,0.1995313971015967,0.24625381095468435,0.8302150669511443,-0.17599726010841527,0.053368568942687156,0.012553677787183063,-0.021311376521216913,0.019041154478718122,-0.0015522297808900323,0.0,0.0,0.0,0.9999737983951134
