scenario,base_ann_vol,base_max_dd,srf_ann_vol,srf_max_dd,vol_reduction,dd_reduction,reserve_depletion,peak_lock
Neutral,0.8704263285601094,0.8244320659745394,0.8027229671270198,0.6374927677246932,0.07733992302024292,0.22946040779454116,0.18408904025149103,0.5500000000000002
Emission-heavy,0.8704263285601094,0.8244320659745394,0.8031608425579458,0.6391275462202344,0.07681108800152114,0.22755956495381624,-0.5559393112891471,0.5500000000000002
Burn-heavy,0.8704263285601094,0.8244320659745394,0.8032251445175508,0.6361652495699537,0.07676299975681933,0.2310445868758891,0.6560358286519562,0.5500000000000002
Reward-driven inflation,0.8704263285601094,0.8244320659745394,0.8027202663379377,0.6376188406542472,0.0773436225452446,0.22930651710092537,0.16080297367402765,0.5500000000000002
Demand collapse,0.8704263285601094,0.8244320659745394,0.8027511967787276,0.6375026465007428,0.07731192914390018,0.22944698561447266,0.08240132272109854,0.5500000000000002
