impact_model,liquidity_shock,ann_vol,max_drawdown,reserve_depletion,peak_lock,intervention_cost,slippage_cost
linear,False,0.7945640280223805,0.6396307244913206,0.16152838708557576,0.5500000000000002,7104976.281066541,279075.32201016555
linear,True,0.7932209566591379,0.6224976807991407,0.12018471817189995,0.5500000000000002,7209453.837607233,284392.58951525146
amm,False,0.8004284297816857,0.6296210576146346,0.1265557613145265,0.5500000000000002,7221723.789404949,288526.2405898422
amm,True,0.8014043210053293,0.6295056471781147,0.11949985291456335,0.5500000000000002,7210431.619848163,288204.2357108022
