,ann_vol,downside_vol,max_drawdown,rolling_dd_14,rolling_vol_14,worst_day_pct,time_under_dd_10pct,recovery_days,expected_shortfall_5,reserve_depletion,intervention_cost,slippage_cost,avg_lock,peak_lock,avg_tax,n_interventions,P_T,R_T,vol_reduction,dd_reduction,rolling_dd_reduction,rolling_vol_reduction,worst_day_reduction,drift_preservation,terminal_log_excess
No intervention,0.7898885762848805,0.5554186153316427,0.788675077341525,0.13484405159191157,0.7341070665585758,0.16111250086451606,298.0,-1.0,-0.09640162823878706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5338412390224115,500000.0,,,,,,,
Full SRF,0.7476422678244826,0.5226452139517738,0.5420729816004379,0.11145411583478658,0.7357471264125337,0.15717941144062825,289.0,-1.0,-0.09017115434596011,-0.1126887812247761,6153581.8220660845,241751.39838365503,0.14323343885461726,0.55,0.01498651415889356,96.0,0.6867798900072645,556344.390612388,0.05348388333338977,0.31267895084543085,0.1734591587911617,-0.0022340880896928573,0.02441206860289046,0.2519153583282541,0.2519153583282541
